width = 6, length = 6, tiles = 35, endpoints = 8;
0 = (UP, 5), 1 = (UP, 4), 2 = (RIGHT, 7), 3 = (RIGHT, 6), 4 = (DOWN, 1), 5 = (DOWN, 0), 6 = (LEFT, 3), 7 = (LEFT, 1);

0 5, 1 7, 2 6, 3 4;
0 4, 1 5, 2 3, 6 7;
0 3, 1 2, 4 5, 6 7;
0 1, 2 5, 3 7, 4 6;
0 4, 1 6, 2 5, 3 7;

0 2, 1 3, 4 5, 6 7;
0 4, 1 3, 2 5, 6 7;
0 2, 1 3, 4 6, 5 7;
0 2, 1 4, 3 5, 6 7;
0 6, 1 5, 2 7, 3 4;
0 3, 1 6, 2 4, 5 7;

0 1, 2 7, 3 6, 4 5;
0 3, 1 2, 4 7, 5 6;
0 4, 1 3, 2 6, 5 7;
0 5, 1 4, 2 7, 3 6;
0 3, 1 6, 2 5, 4 7;

0 4, 1 2, 3 7, 5 6;
0 2, 1 4, 3 6, 5 7;
0 5, 1 6, 2 7, 3 4;
0 1, 2 4, 3 7, 5 6;
0 2, 1 5, 3 7, 4 6;
0 4, 1 5, 2 6, 3 7;

0 4, 1 7, 2 5, 3 6;
0 3, 1 5, 2 7, 4 6;
0 3, 1 6, 2 7, 4 5;
0 6, 1 2, 3 5, 4 7;
0 7, 1 2, 3 5, 4 6;
0 2, 1 7, 3 5, 4 6;

0 7, 1 2, 3 6, 4 5;
0 7, 1 3, 2 6, 4 5;
0 7, 1 2, 3 4, 5 6;
0 5, 1 4, 2 6, 3 7;
0 6, 1 7, 2 5, 3 4;
0 1, 2 7, 3 5, 4 6;

0 1, 2 3, 4 5, 6 7;
